date,stock_id,sharpe_ratio
11/15/2019,5871.TW,-0.146136582
4/1/2020,5871.TW,0.27340832
5/16/2020,5871.TW,0.245981967
8/15/2020,5871.TW,0.161029753
11/15/2020,5871.TW,0.115065517
4/1/2021,5871.TW,-0.00488848
5/16/2021,5871.TW,0.292128251
8/15/2021,5871.TW,0.085971624
11/15/2021,5871.TW,0.021205349
4/1/2022,5871.TW,-0.381565575
5/16/2022,5871.TW,0.149710301
8/15/2022,5871.TW,-0.07097434
11/15/2022,5871.TW,0.092215132
4/1/2023,5871.TW,-0.115949921
5/16/2023,5871.TW,-0.108574629
8/15/2023,5871.TW,0.025534202
11/15/2023,5871.TW,-0.00826122
4/1/2024,5871.TW,-0.187995759
5/16/2024,5871.TW,
5/16/2013,2395.TW,0.008924103
8/15/2013,2395.TW,0.219989429
11/15/2013,2395.TW,0.059185043
